artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Alicia Keys,No One,253813,False,2007,77,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,"pop, R&B"
Timbaland,Apologize,184400,False,2007,74,0.653,0.604,8,-6.017,1,0.0278,0.0292,0.0,0.097,0.101,118.016,"hip hop, pop, R&B"
Ne-Yo,Miss Independent,232000,False,2008,71,0.668,0.673,1,-5.714,1,0.145,0.48,0.0,0.194,0.727,171.812,"pop, R&B"
Chris Brown,With You,252120,False,2007,70,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,"hip hop, pop, R&B"
Beyoncé,If I Were a Boy,249146,False,2008,66,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,"pop, R&B"
Kardinal Offishall,Dangerous,246053,True,2008,75,0.949,0.79,8,-5.957,1,0.0756,0.00437,0.0,0.0816,0.807,117.002,"hip hop, pop, R&B"
Madcon,Beggin (original version),216146,False,2007,70,0.715,0.8,4,-5.144,0,0.057,0.0271,0.0,0.0648,0.445,129.023,"hip hop, pop"
September,Cry for You,209800,False,2007,65,0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,"pop, Dance/Electronic"
Rihanna,Disturbia,238626,False,2008,76,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,"hip hop, pop, R&B"
Guru Josh Project,Infinity 2008,190013,False,2011,1,0.493,0.849,7,-6.139,0,0.0576,0.000337,0.00672,0.355,0.483,127.999,hip hop
Britney Spears,Break the Ice,196053,False,2007,61,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02e-06,0.107,0.85,117.533,pop
Lil Wayne,Lollipop,299333,True,2008,69,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,"hip hop, pop"
Basshunter,Now You're Gone - Video Edit,148186,False,2008,63,0.639,0.976,1,-5.503,1,0.354,0.0213,0.0,0.0856,0.354,147.99,pop
Kanye West,Flashing Lights,237506,True,2007,52,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,hip hop
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),189693,False,2009,71,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,pop
Katy Perry,Hot N Cold,220226,False,2008,73,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,pop
Rihanna,Don't Stop The Music,267080,False,2008,77,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,"hip hop, pop, R&B"
Snoop Dogg,Sensual Seduction,245520,False,2007,56,0.756,0.829,11,-3.973,1,0.0682,0.003,3.46e-05,0.0578,0.504,120.163,"hip hop, pop"
Akon,Right Now (Na Na Na),240746,False,2008,69,0.83,0.857,8,-4.194,0,0.152,0.262,0.0,0.413,0.607,137.982,pop
Britney Spears,Womanizer,224400,False,2008,76,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,pop
Eric Prydz,Pjanoo - Radio Edit,157432,False,2008,65,0.605,0.874,7,-4.949,0,0.0295,0.000563,0.812,0.112,0.836,125.99,"pop, Dance/Electronic"
Kelly Rowland,Work,207920,False,2010,34,0.888,0.823,10,-6.351,0,0.0538,0.00499,0.0,0.291,0.623,102.757,"hip hop, pop, R&B"
Jeezy,Put On,321293,True,2008,69,0.654,0.77,9,-6.091,0,0.0353,0.00342,0.0,0.0887,0.272,137.616,"hip hop, pop"
Madonna,Give It 2 Me,287906,False,2008,57,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,pop
The Pussycat Dolls,When I Grow Up,245680,False,2008,72,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,"pop, R&B"
will.i.am,Heartbreaker,327880,True,2007,46,0.788,0.549,9,-8.793,0,0.0732,0.0352,0.127,0.147,0.449,120.051,"hip hop, pop"
Soulja Boy,Crank That (Soulja Boy),221933,False,2007,74,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,"hip hop, pop"
Britney Spears,Piece of Me,212106,False,2007,64,0.769,0.638,11,-5.054,1,0.216,0.0902,0.0,0.0857,0.782,115.007,pop
T.I.,Live Your Life,338853,True,2008,75,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,"hip hop, pop"
Ne-Yo,Closer,234360,False,2008,65,0.709,0.745,4,-6.437,0,0.0738,0.0225,5.2e-05,0.154,0.576,126.027,"pop, R&B"
Lil Wayne,A Milli,221840,True,2008,69,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,"hip hop, pop"
Colby O'Donis,What You Got,243013,False,2008,61,0.775,0.641,1,-6.718,1,0.038,0.0327,0.0,0.18,0.305,119.974,"hip hop, pop, R&B"
Miley Cyrus,See You Again,190453,False,2007,0,0.692,0.911,9,-5.098,0,0.177,0.0149,7.34e-05,0.112,0.801,138.975,pop
Basshunter,All I Ever Wanted - Radio Edit,176453,False,2008,65,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,pop
Chris Brown,Kiss Kiss (feat. T-Pain),250666,False,2007,68,0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,"hip hop, pop, R&B"
Finger Eleven,Paralyzer,208106,False,2007,73,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,"rock, metal"
Alesha Dixon,The Boy Does Nothing,210680,False,2008,51,0.632,0.972,3,-2.423,0,0.121,0.121,7.74e-05,0.0317,0.845,87.0,pop
Dizzee Rascal,Dance Wiv Me - Radio Edit,204093,False,2011,68,0.878,0.746,11,-4.281,1,0.0451,0.0476,0.0,0.154,0.792,111.996,"hip hop, pop, Dance/Electronic"
Gabriella Cilmi,Sweet About Me,202133,False,2008,56,0.671,0.701,6,-5.035,1,0.0288,0.0607,2.7e-06,0.163,0.585,131.977,R&B
Jack White,Another Way to Die,262240,False,2007,56,0.486,0.765,4,-4.23,0,0.128,0.0239,3.02e-05,0.11,0.386,141.933,"rock, blues"
Plies,Hypnotized (feat. Akon),188493,True,2007,66,0.84,0.571,10,-7.421,1,0.0797,0.16,0.0,0.406,0.617,116.59,"hip hop, pop, R&B"
The Pussycat Dolls,I Hate This Part,218400,False,2008,64,0.756,0.612,5,-4.371,1,0.0317,0.0659,0.0,0.274,0.452,111.572,"pop, R&B"
Sean Kingston,Take You There,236693,False,2008,65,0.752,0.921,5,-4.321,0,0.0696,0.0182,0.0,0.256,0.634,115.033,"hip hop, pop, R&B"
Natasha Bedingfield,Pocketful of Sunshine,203440,False,2008,62,0.726,0.881,9,-3.892,0,0.0391,0.203,0.0,0.108,0.682,110.019,pop
The Offspring,"You're Gonna Go Far, Kid",177826,True,2008,78,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,"rock, pop, metal"
Kanye West,Homecoming,203493,True,2007,47,0.667,0.747,1,-7.059,1,0.189,0.337,0.0,0.115,0.918,86.917,hip hop
Estelle,American Boy,284733,True,2008,78,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,R&B
Saving Abel,Addicted,222826,True,2008,69,0.512,0.864,7,-4.146,1,0.0338,0.000821,0.0,0.0982,0.527,138.018,"rock, metal"
Pendulum,Propane Nightmares,313346,False,2008,57,0.356,0.966,7,-4.13,0,0.0825,0.000262,0.148,0.192,0.215,173.992,Dance/Electronic
The Game,My Life,320893,True,2008,60,0.673,0.766,11,-5.018,1,0.349,0.0724,0.0,0.0563,0.382,148.113,"hip hop, pop"
Danity Kane,Damaged,244266,False,2008,57,0.774,0.653,8,-5.158,0,0.05,0.0912,0.0,0.151,0.818,120.01,"pop, R&B"
P!nk,So What,215160,True,2008,76,0.534,0.87,11,-3.078,0,0.0425,0.000334,0.0,0.241,0.462,126.019,pop
Kanye West,Love Lockdown,270306,False,2008,66,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,hip hop
Gym Class Heroes,Cookie Jar (feat. The-Dream),216317,True,2008,54,0.687,0.668,5,-4.061,1,0.0282,0.0253,0.0,0.744,0.418,113.053,"hip hop, pop"
M.I.A.,Paper Planes,205200,False,2007,1,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.65,0.485,172.247,"pop, rock"
3 Doors Down,It's Not My Time,241960,False,2008,56,0.529,0.934,0,-4.808,1,0.0602,0.00153,5.16e-06,0.118,0.282,127.962,"pop, rock, metal"
Kylie Minogue,Wow,190973,False,2007,47,0.654,0.884,9,-5.466,1,0.202,0.151,0.000268,0.379,0.851,124.072,"pop, Dance/Electronic"
Mariah Carey,Touch My Body,204733,False,2008,0,0.715,0.665,4,-7.736,0,0.0502,0.0996,0.0,0.224,0.84,78.502,"pop, R&B"
MGMT,Kids,302840,False,2007,77,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,rock
The Ting Tings,Shut Up and Let Me Go,171226,False,2007,55,0.852,0.927,7,-4.497,1,0.0581,0.0109,0.00268,0.054,0.887,107.993,"pop, rock, Dance/Electronic"
Lil Wayne,Got Money,244626,True,2008,58,0.694,0.661,7,-4.847,1,0.118,0.00188,0.0,0.676,0.702,82.48,"hip hop, pop"
Santana,Into the Night (feat. Chad Kroeger),222440,False,2007,57,0.595,0.844,7,-4.678,1,0.0331,0.0137,0.0,0.234,0.603,127.981,"rock, blues, latin"
The-Dream,I Luv Your Girl,267866,True,2007,62,0.723,0.322,8,-9.702,1,0.0341,0.014,0.0,0.119,0.0406,90.063,"hip hop, pop, R&B"
Wiley,Wearing My Rolex - Radio Edit,170480,False,2008,59,0.876,0.716,1,-6.884,1,0.135,0.0468,0.000482,0.0667,0.755,131.942,"hip hop, Dance/Electronic"
Usher,Love in This Club (feat. Young Jeezy),259720,False,2008,71,0.573,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.346,140.012,"hip hop, pop, R&B"
Sam Sparro,Black & Gold - Radio Edit,212360,False,2008,53,0.383,0.703,4,-5.65,0,0.0763,0.00116,2.39e-05,0.112,0.42,135.968,"pop, Dance/Electronic"
"H ""two"" O",What's It Gonna Be (feat. Platnum),207476,False,2008,55,0.733,0.9,9,-4.758,1,0.0341,0.0085,0.0218,0.151,0.937,139.61,Dance/Electronic
The Ting Tings,That's Not My Name,310573,False,2008,51,0.755,0.901,9,-3.152,1,0.0893,0.0451,0.0373,0.363,0.959,145.042,"pop, rock, Dance/Electronic"
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",240760,True,2008,61,0.648,0.801,5,-7.24,0,0.167,0.154,0.0,0.339,0.807,78.946,"hip hop, pop, R&B"
James Morrison,Broken Strings,250453,False,2008,70,0.57,0.717,1,-4.914,1,0.029,0.00967,0.0,0.0833,0.321,111.91,"pop, R&B"
Leona Lewis,Run,314720,False,2007,62,0.285,0.462,5,-6.166,0,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,"pop, R&B"
Metro Station,Shake It,179946,False,2007,67,0.618,0.955,4,-3.836,1,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,"pop, rock"
T.I.,Whatever You Like,249533,True,2008,74,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,"hip hop, pop"
Trey Songz,Can't Help but Wait,206413,False,2007,62,0.699,0.699,8,-5.564,0,0.0737,0.358,0.0,0.0912,0.611,94.977,"hip hop, pop, R&B"
OneRepublic,Stop And Stare,223853,False,2007,59,0.492,0.859,4,-4.274,1,0.0332,0.0659,0.0,0.0756,0.251,92.474,pop
Alexandra Burke,Hallelujah,217826,False,2009,63,0.177,0.425,2,-6.211,0,0.0291,0.654,0.0,0.195,0.0942,182.571,pop
Mary J. Blige,Just Fine,242133,False,2007,64,0.923,0.795,11,-3.61,0,0.117,0.0394,0.000565,0.101,0.588,123.021,"pop, R&B"
Jordin Sparks,One Step At a Time,205160,False,2007,56,0.766,0.692,1,-4.672,1,0.0289,0.0825,0.0,0.0384,0.691,102.028,"pop, R&B"
Coldplay,Viva La Vida,242373,False,2008,80,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,"rock, pop"
Kings of Leon,Sex on Fire,203346,False,2008,80,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,rock
Kanye West,Good Life,207000,True,2007,45,0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,hip hop
Duffy,Mercy,219920,False,2008,69,0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.911,"pop, R&B"
David Archuleta,Crush,213520,False,2008,67,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,pop
J. Holiday,Suffocate - Superclean,220053,False,2007,58,0.458,0.445,9,-8.391,0,0.361,0.64,0.0,0.118,0.447,82.82,"hip hop, pop, R&B, Dance/Electronic"
Gavin DeGraw,In Love With a Girl,206000,False,2008,51,0.438,0.906,3,-4.8,1,0.0438,0.0191,0.0,0.373,0.684,161.905,"pop, Folk/Acoustic"
Jordin Sparks,Tattoo,233466,False,2007,54,0.566,0.766,2,-5.036,1,0.0399,0.431,0.0,0.101,0.547,168.005,"pop, R&B"
Coldplay,Violet Hill,222653,False,2008,63,0.33,0.58,1,-7.875,0,0.0374,0.0614,0.00129,0.115,0.11,76.093,"rock, pop"
Ray J,Sexy Can I feat. Yung Berg,204040,True,2008,1,0.575,0.684,1,-6.007,1,0.325,0.299,0.0,0.614,0.926,172.155,"hip hop, pop, R&B"
Jennifer Hudson,Spotlight,250106,False,2008,60,0.707,0.724,11,-3.887,0,0.051,0.0448,0.0,0.072,0.659,108.984,"pop, R&B, easy listening"
John Legend,Green Light (feat. André 3000),284186,False,2008,55,0.622,0.882,9,-5.59,0,0.119,0.0912,0.0,0.216,0.762,77.506,"pop, R&B"
Jonas Brothers,Burnin' Up,175093,False,2008,68,0.667,0.954,2,-3.462,1,0.0817,0.0296,0.0,0.331,0.807,114.03,pop
Lupe Fiasco,Superstar (feat. Matthew Santos),289000,False,2007,64,0.572,0.822,11,-6.015,0,0.361,0.207,0.0,0.359,0.472,94.812,"hip hop, pop"
Chris Brown,Forever,278573,False,2008,74,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,"hip hop, pop, R&B"
Adele,Chasing Pavements,210506,False,2008,1,0.614,0.47,5,-6.09,0,0.0255,0.291,0.0,0.111,0.329,80.045,"pop, R&B"
Leona Lewis,Better in Time,234173,False,2007,67,0.584,0.7,6,-4.251,1,0.0506,0.512,2.43e-05,0.13,0.549,163.953,"pop, R&B"
Fergie,Clumsy,240426,False,2006,58,0.731,0.563,2,-4.046,1,0.131,0.191,0.00042,0.296,0.452,184.009,"pop, R&B"
T-Pain,Can't Believe It (feat. Lil' Wayne),273826,False,2008,0,0.648,0.516,10,-8.869,0,0.049,0.00179,0.0,0.0772,0.0756,89.828,"hip hop, pop, R&B"
Black Eyed Peas,I Gotta Feeling,289133,False,2009,80,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,"hip hop, pop"
Lady Gaga,Poker Face,237200,False,2008,77,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,pop
Beyoncé,Halo,261640,False,2008,74,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,"pop, R&B"
David Guetta,Sexy Bitch (feat. Akon),195853,True,2010,75,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,"hip hop, pop, Dance/Electronic"
Flo Rida,Right Round,204640,False,2009,74,0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,"hip hop, pop"
Taylor Swift,Love Story,236266,False,2008,74,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,pop
Pitbull,Hotel Room Service,238506,False,2009,63,0.849,0.599,6,-8.164,1,0.227,0.00301,0.000249,0.0763,0.761,126.003,"hip hop, pop, latin"
Britney Spears,Circus,192360,False,2008,74,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,pop
Lady Gaga,LoveGame,216333,False,2008,69,0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.024,pop
Skillet,Monster,178013,False,2009,75,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,"rock, pop, metal"
The Prodigy,Omen,216026,False,2009,57,0.545,0.953,7,-5.172,1,0.0441,0.000941,0.117,0.281,0.558,140.002,"rock, pop, Dance/Electronic"
Black Eyed Peas,Meet Me Halfway,284373,False,2009,72,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,"hip hop, pop"
Kanye West,Heartless,211000,False,2008,82,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,hip hop
Kid Cudi,Day 'N' Nite (Nightmare),221240,False,2009,72,0.88,0.443,11,-6.359,0,0.0653,0.462,7.13e-06,0.122,0.803,138.018,hip hop
Lady Gaga,Just Dance,241933,False,2008,76,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,pop
Britney Spears,If U Seek Amy,216520,False,2008,69,0.717,0.587,4,-7.296,0,0.0339,0.0192,0.0,0.0523,0.544,129.954,pop
Pitbull,I Know You Want Me (Calle Ocho),237120,False,2009,59,0.825,0.743,2,-5.995,1,0.149,0.0142,2.12e-05,0.237,0.8,127.045,"hip hop, pop, latin"
Mariah Carey,Obsessed,242200,False,2009,66,0.742,0.468,10,-5.557,0,0.0625,0.0465,0.0,0.826,0.369,86.443,"pop, R&B"
Beyoncé,Sweet Dreams,208066,False,2008,48,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,"pop, R&B"
Agnes,Release Me,256213,False,2009,65,0.621,0.923,2,-3.124,0,0.0321,0.00645,7.28e-05,0.108,0.716,127.973,"pop, Dance/Electronic"
Black Eyed Peas,Boom Boom Pow,251440,True,2009,68,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,"hip hop, pop"
Shakira,She Wolf,188866,False,2009,68,0.865,0.69,7,-7.448,1,0.0443,0.285,0.0162,0.225,0.867,121.983,"pop, latin"
Lady Gaga,Paparazzi,208306,False,2008,70,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,pop
JAY-Z,Empire State Of Mind,276920,True,2009,82,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,hip hop
OneRepublic,All The Right Moves,238000,False,2009,65,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,pop
Jeremih,Birthday Sex,226506,False,2009,67,0.677,0.523,7,-5.603,0,0.0439,0.295,0.0,0.15,0.446,60.019,"hip hop, pop, R&B"
Cascada,Evacuate The Dancefloor,207200,False,2009,63,0.762,0.702,0,-5.87,1,0.0432,0.0167,0.0,0.314,0.898,127.029,"hip hop, pop, Dance/Electronic"
Linkin Park,New Divide,268613,False,2009,68,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,"rock, metal"
Kevin Rudolf,Let It Rock,231173,True,2008,66,0.607,0.783,7,-4.41,1,0.0397,0.000683,0.0,0.0678,0.434,113.172,"hip hop, pop"
JAY-Z,Run This Town,267520,True,2009,75,0.632,0.924,1,-1.802,1,0.29,0.281,0.0,0.263,0.441,86.844,hip hop
Lady Gaga,Bad Romance,294573,True,2009,80,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,pop
T.I.,Live Your Life,338853,True,2008,75,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,"hip hop, pop"
Eminem,We Made You,269613,False,2009,63,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003,hip hop
Dizzee Rascal,Bonkers,177573,False,2011,38,0.624,0.977,11,-3.34,0,0.22,0.00615,0.0,0.253,0.74,126.127,"hip hop, pop, Dance/Electronic"
Ciara,Love Sex Magic (feat. Justin Timberlake),220426,False,2009,58,0.893,0.666,10,-5.089,0,0.138,0.0206,0.0,0.342,0.874,107.011,"pop, R&B"
Rihanna,Russian Roulette,227533,True,2009,64,0.48,0.486,6,-5.754,0,0.0447,0.046,0.0,0.107,0.265,80.051,"hip hop, pop, R&B"
Soulja Boy,Turn My Swag On,206333,False,2008,59,0.546,0.712,3,-3.104,0,0.0269,0.000969,0.0,0.406,0.489,150.154,"hip hop, pop"
The xx,Intro,127920,False,2009,2,0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,rock
Jay Sean,Down,212106,False,2009,3,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,"hip hop, pop, R&B"
Keri Hilson,Turnin Me On - Original Dirty,248066,True,2008,41,0.661,0.584,1,-5.09,1,0.061,0.00293,4.82e-06,0.134,0.0949,159.873,"pop, R&B"
David Guetta,When Love Takes Over (feat. Kelly Rowland),191000,False,2010,69,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,"hip hop, pop, Dance/Electronic"
Cheryl,Fight For This Love,223253,False,2009,65,0.739,0.741,7,-5.873,1,0.0912,0.013,0.0,0.0679,0.727,122.988,"pop, Dance/Electronic"
Soulja Boy,Kiss Me Thru The Phone,193386,True,2008,76,0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,"hip hop, pop"
Eminem,Crack A Bottle,297520,True,2009,70,0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.173,0.391,169.561,hip hop
P!nk,Sober,251440,False,2010,46,0.614,0.792,6,-4.907,1,0.0299,0.0653,0.0,0.195,0.407,91.066,pop
Tinchy Stryder,Number 1,212773,False,2009,59,0.581,0.824,0,-3.912,0,0.0377,0.0105,0.0,0.483,0.747,114.912,"pop, Dance/Electronic"
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)",196520,False,2009,54,0.451,0.873,3,-4.711,0,0.19,0.171,0.0,0.327,0.589,119.918,"pop, Dance/Electronic"
JLS,Beat Again - Radio Edit,196640,False,2009,0,0.894,0.93,11,-4.577,1,0.0712,0.0355,0.0,0.0759,0.968,120.02,pop
3OH!3,DONTTRUSTME,192573,True,2008,70,0.791,0.713,5,-3.742,0,0.254,0.0163,0.0,0.189,0.514,130.012,"hip hop, pop, rock"
A.R. Rahman,Jai Ho! (You Are My Destiny),222400,False,2009,65,0.657,0.941,8,-3.919,0,0.061,0.0476,0.0,0.0797,0.879,136.202,set()
The Pussycat Dolls,I Hate This Part,218400,False,2008,64,0.756,0.612,5,-4.371,1,0.0317,0.0659,0.0,0.274,0.452,111.572,"pop, R&B"
Akon,Beautiful,312986,False,2008,65,0.74,0.945,0,-4.442,0,0.0889,0.123,0.0,0.112,0.629,130.015,pop
Alexandra Burke,Bad Boys (feat. Flo Rida),206480,False,2009,57,0.67,0.866,1,-3.684,1,0.0538,0.0115,0.0,0.358,0.636,140.029,pop
Mario,Break Up,249026,True,2009,51,0.44,0.517,0,-7.355,1,0.363,0.428,0.0,0.173,0.475,73.881,"pop, R&B"
Drake,Forever,357706,True,2009,73,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,"hip hop, pop, R&B"
Selena Gomez & The Scene,Naturally,202586,False,2009,63,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,"pop, Dance/Electronic"
Kanye West,Love Lockdown,270306,False,2008,66,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,hip hop
The Veronicas,Untouched,255360,False,2005,58,0.557,0.783,6,-4.893,0,0.234,0.0171,0.0172,0.151,0.442,177.008,"pop, Dance/Electronic"
Fabolous,Throw It In The Bag,231573,True,2009,59,0.789,0.55,11,-7.423,0,0.0473,0.174,0.0,0.0614,0.696,172.049,"hip hop, pop, R&B"
Jason Derulo,Whatcha Say,221253,False,2010,70,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,"hip hop, pop"
Lily Allen,Not Fair,201213,True,2009,54,0.719,0.861,5,-6.982,1,0.0402,0.0447,0.00989,0.219,0.948,121.491,pop
T.I.,Dead And Gone,299746,True,2008,68,0.713,0.746,0,-4.99,1,0.259,0.0402,0.0,0.601,0.47,135.021,"hip hop, pop"
Sean Kingston,Fire Burning,239986,False,2009,71,0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973,"hip hop, pop, R&B"
Empire of the Sun,Walking On A Dream,198440,False,2008,77,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,"rock, pop, Dance/Electronic"
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),196413,False,2009,65,0.594,0.874,0,-3.716,1,0.0815,0.0116,0.0,0.549,0.628,119.964,"pop, Dance/Electronic"
Nickelback,If Today Was Your Last Day,249066,False,2008,66,0.485,0.911,3,-5.749,1,0.0355,8.67e-05,0.0,0.092,0.568,89.956,"rock, metal"
La Roux,Bulletproof,205733,False,2009,71,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,"pop, Dance/Electronic"
Kasabian,Fire,252279,False,2009,64,0.525,0.742,10,-5.643,1,0.0311,0.0874,0.149,0.117,0.179,117.029,rock
Calvin Harris,I'm Not Alone - Radio Edit,210973,False,2009,55,0.597,0.684,7,-6.614,1,0.0321,0.00481,0.105,0.317,0.435,130.99,"hip hop, pop, Dance/Electronic"
Justin Bieber,One Time,215866,False,2009,71,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,pop
Jamie Foxx,Blame It,289746,True,2008,65,0.673,0.614,7,-5.426,1,0.103,0.0782,0.0,0.139,0.362,176.052,"hip hop, pop, R&B"
La Roux,In For The Kill,248626,False,2009,59,0.629,0.969,8,-0.276,0,0.0455,0.00184,0.0,0.122,0.905,150.01,"pop, Dance/Electronic"
Muse,Uprising,304840,False,2009,75,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,rock
Nickelback,Gotta Be Somebody,252653,False,2008,62,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,"rock, metal"
James Morrison,Broken Strings,250453,False,2008,70,0.57,0.717,1,-4.914,1,0.029,0.00967,0.0,0.0833,0.321,111.91,"pop, R&B"
T.I.,Whatever You Like,249533,True,2008,74,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,"hip hop, pop"
Dizzee Rascal,Holiday,220626,False,2011,60,0.545,0.918,0,-1.925,1,0.0448,0.0571,0.0,0.0415,0.855,117.985,"hip hop, pop, Dance/Electronic"
Beyoncé,Single Ladies (Put a Ring on It),193213,False,2008,67,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,"pop, R&B"
Boys Like Girls,Love Drunk,226706,False,2009,64,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,pop
The-Dream,Rockin' That Shit,221920,True,2009,62,0.672,0.62,8,-4.865,1,0.0422,0.123,0.0,0.362,0.627,78.005,"hip hop, pop, R&B"
